FILENAME					PERC.PATH ULTIMATI	MEDIA PATH	PERC.L.SYNS VUOTE	PERC.PATH INTERROTTI

hdp.tsv						38.7774594078319	10.0221674877	32.9512893982808	28.2712511938873

graph_relations-lcs-relations.tsv		50.4381694255112	8.70656370656	19.084712755598833	30.477117818889973
graph_relations-relations-lcs.tsv		38.492063492063494	7.92783505155	18.253968253968253	43.25396825396825
lcs-graph_relations-relations.tsv		47.127555988315486	9.59710743802	19.084712755598833	33.787731256085685
lcs-relations-graph_relations.tsv		48.49187935034803	8.11004784689	21.34570765661253	30.162412993039442
relations-graph_relations-lcs.tsv		43.627450980392155	7.11235955056	18.627450980392158	37.745098039215684
relations-lcs-graph_relations.tsv		44.77124183006536	8.72262773723	18.627450980392158	36.60130718954248

SPECIFICITY-graph_relations-lcs-relations.tsv	50.730282375852		8.46065259117	19.084712755598833	30.18500486854917
SPECIFICITY-graph_relations-relations-lcs.tsv	38.095238095238095	7.73958333333	18.253968253968253	43.65079365079365
SPECIFICITY-lcs-graph_relations-relations.tsv	58.81207400194742	8.41390728477	19.084712755598833	22.103213242453748
SPECIFICITY-lcs-relations-graph_relations.tsv	47.09976798143852	8.0197044335	21.34570765661253	31.554524361948957
SPECIFICITY-relations-graph_relations-lcs.tsv	45.09803921568628	7.23913043478	18.627450980392158	36.27450980392157
SPECIFICITY-relations-lcs-graph_relations.tsv	32.01754385964912	6.95890410959	18.42105263157895	49.56140350877193
